fecha_hora,latitud,longitud,via,grado_severidad,tipo_siniestro,causa_probable,victima1_edad,victima1_condicion,victima1_sexo,victima1_actor_vial,victima2_edad,victima2_condicion,victima2_sexo,victima2_actor_vial,victima3_edad,victima3_condicion,victima3_sexo,victima3_actor_vial
2020-06-09 05:14:26,-4.005947,-79.221118,Av. Universitaria,SOLO_DANOS,Accidente Laboral,Estado de embriaguez,,,,,,,,,,,,
2020-06-18 01:00:43,-3.997208,-79.177534,Av. 8 de Diciembre,SOLO_DANOS,Choque Vehicular,Via resbaladiza o mojada,,,,,,,,,,,,
2020-03-25 00:27:48,-3.991668,-79.185409,Calle Saraguro,CON_LESIONADOS,Colision Multiple,Mal estado de la via,7,LESIONADO,NO_REGISTRA,SCOOTER,29,LESIONADO,HOMBRE,OTRO,,,,
2020-05-18 10:25:24,-4.019435,-79.204519,Av. 8 de Diciembre,CON_FALLECIDOS,Incendio,Fatiga del conductor,53,FALLECIDO,NO_REGISTRA,SCOOTER,73,FALLECIDO,MUJER,VEH_LIVIANO,,,,
2020-11-20 18:41:19,-3.986160,-79.227703,Av. Isidro Ayora,CON_FALLECIDOS,Choque Vehicular,Estado de embriaguez,21,FALLECIDO,HOMBRE,SCOOTER,46,FALLECIDO,HOMBRE,OTRO,,,,
2020-05-12 20:33:44,-3.997795,-79.219257,Via Loja - Catamayo,CON_FALLECIDOS,Incendio,Equipo de seguridad deficiente,33,FALLECIDO,HOMBRE,CICLISTA,38,LESIONADO,HOMBRE,VEH_LIVIANO,,,,
2020-05-29 19:13:09,-4.006239,-79.225623,Av. Isidro Ayora,CON_FALLECIDOS,Colision Multiple,Falla mecanica,69,FALLECIDO,NO_REGISTRA,VEH_LIVIANO,34,LESIONADO,HOMBRE,MOTOCICLETA,44,LESIONADO,HOMBRE,VEH_LIVIANO
2020-08-12 17:20:44,-4.010533,-79.224212,Calle Rocafuerte,SOLO_DANOS,Choque Vehicular,Via resbaladiza o mojada,61,LESIONADO,NO_REGISTRA,PEATON,,,,,,,,
2020-02-04 06:13:45,-4.034442,-79.228720,Av. Isidro Ayora,SOLO_DANOS,Choque Vehicular,Fatiga del conductor,,,,,,,,,,,,
2020-06-15 14:51:09,-3.978398,-79.194674,Calle Bolivar,SOLO_DANOS,Volcamiento,Mal estado de la via,,,,,,,,,,,,
2020-07-10 00:40:09,-4.002930,-79.186491,Calle Montufar,SOLO_DANOS,Atropellamiento,Factores externos,23,LESIONADO,HOMBRE,PEATON,,,,,,,,
2020-11-22 05:05:49,-3.993435,-79.194828,Av. 8 de Diciembre,CON_FALLECIDOS,Atropellamiento,Fatiga del conductor,65,FALLECIDO,MUJER,OTRO,,,,,,,,
2020-05-23 17:20:30,-4.025475,-79.171066,Av. Gran Colombia,CON_FALLECIDOS,Choque Vehicular,Mal estado de la via,80,FALLECIDO,HOMBRE,SCOOTER,,,,,,,,
2020-04-25 06:21:10,-3.986212,-79.212303,Av. Universitaria,CON_FALLECIDOS,Volcamiento,Fatiga del conductor,62,FALLECIDO,NO_REGISTRA,MOTOCICLETA,65,FALLECIDO,NO_REGISTRA,SCOOTER,68,LESIONADO,NO_REGISTRA,OTRO
2020-10-05 20:35:30,-3.982890,-79.206576,Av. Pio Jaramillo,SOLO_DANOS,Volcamiento,Falla mecanica,,,,,,,,,,,,
2020-03-26 18:09:54,-4.024994,-79.172131,Calle Quito,CON_FALLECIDOS,Accidente Laboral,Distraccion (celular/radio),54,FALLECIDO,MUJER,CICLISTA,11,LESIONADO,NO_REGISTRA,PEATON,,,,
2020-12-04 23:44:49,-4.032841,-79.172695,Calle Mercadillo,SOLO_DANOS,Atropellamiento,Fatiga del conductor,,,,,,,,,,,,
2020-10-15 15:52:22,-4.022016,-79.223069,Calle Quito,SOLO_DANOS,Atropellamiento,Distraccion (celular/radio),50,LESIONADO,HOMBRE,PEATON,,,,,,,,
2020-11-13 04:11:44,-3.984654,-79.188602,Calle Quito,SOLO_DANOS,Caida,Equipo de seguridad deficiente,,,,,,,,,,,,
2020-07-24 02:12:55,-4.002764,-79.208769,Av. Gran Colombia,CON_FALLECIDOS,Incendio,Via resbaladiza o mojada,77,FALLECIDO,HOMBRE,VEH_LIVIANO,44,FALLECIDO,HOMBRE,SCOOTER,39,LESIONADO,NO_REGISTRA,PEATON
2020-10-17 15:52:32,-3.990663,-79.210101,Calle Miguel Riofrio,SOLO_DANOS,Atropellamiento,Factores externos,,,,,,,,,,,,
2020-10-07 14:55:14,-4.036610,-79.179729,Calle Imbabura,CON_FALLECIDOS,Atropellamiento,Estado de embriaguez,19,FALLECIDO,HOMBRE,SCOOTER,34,FALLECIDO,MUJER,CICLISTA,,,,
2020-08-08 09:37:47,-4.015604,-79.207630,Av. Gran Colombia,SOLO_DANOS,Choque Vehicular,Fatiga del conductor,,,,,,,,,,,,
2020-04-27 08:14:10,-4.014572,-79.229149,Ruta 35,SOLO_DANOS,Caida,Imprudencia del conductor,,,,,,,,,,,,
2020-07-19 15:40:52,-3.984645,-79.180742,Calle Quito,CON_FALLECIDOS,Atropellamiento,Mal estado de la via,58,FALLECIDO,MUJER,VEH_LIVIANO,28,FALLECIDO,NO_REGISTRA,OTRO,,,,
2020-04-08 04:25:50,-4.030960,-79.191752,Calle Miguel Riofrio,SOLO_DANOS,Colision Multiple,Visibilidad reducida,,,,,,,,,,,,
2020-09-12 06:30:48,-4.002316,-79.220452,Av. Reinaldo Espinosa,SOLO_DANOS,Atropellamiento,Fatiga del conductor,,,,,,,,,,,,
2020-09-30 11:55:59,-3.980989,-79.227596,Calle Bolivar,CON_FALLECIDOS,Atropellamiento,Equipo de seguridad deficiente,81,FALLECIDO,MUJER,MOTOCICLETA,12,LESIONADO,MUJER,CICLISTA,,,,
2020-09-21 07:35:21,-4.027734,-79.220624,Av. Isidro Ayora,CON_LESIONADOS,Incendio,Mal estado de la via,26,LESIONADO,MUJER,OTRO,,,,,,,,
2020-07-03 19:56:31,-3.978392,-79.214432,Calle Rocafuerte,CON_LESIONADOS,Volcamiento,Visibilidad reducida,76,LESIONADO,HOMBRE,MOTOCICLETA,78,LESIONADO,MUJER,VEH_LIVIANO,,,,
2020-07-16 02:45:18,-4.010263,-79.178858,Calle Quito,CON_FALLECIDOS,Incendio,Estado de embriaguez,19,FALLECIDO,HOMBRE,OTRO,41,FALLECIDO,NO_REGISTRA,SCOOTER,54,LESIONADO,MUJER,OTRO
2020-04-20 03:30:50,-3.980315,-79.217039,Av. Gran Colombia,CON_LESIONADOS,Colision Multiple,Imprudencia del conductor,55,LESIONADO,MUJER,SCOOTER,78,LESIONADO,NO_REGISTRA,OTRO,42,LESIONADO,MUJER,PEATON
2020-03-13 10:16:16,-4.026161,-79.214671,Av. Rosa Hermosa,CON_LESIONADOS,Volcamiento,Estado de embriaguez,51,LESIONADO,HOMBRE,MOTOCICLETA,38,LESIONADO,MUJER,MOTOCICLETA,,,,
2020-01-12 18:47:02,-4.036942,-79.198955,Calle Colon,SOLO_DANOS,Colision Multiple,Estado de embriaguez,,,,,,,,,,,,
2020-10-06 10:58:50,-4.009255,-79.221212,Calle Mercadillo,CON_FALLECIDOS,Atropellamiento,Factores externos,58,FALLECIDO,HOMBRE,CICLISTA,70,LESIONADO,MUJER,SCOOTER,,,,
2020-09-18 10:33:06,-4.020381,-79.200834,Av. Manuel Agustin Aguirre,SOLO_DANOS,Atropellamiento,Factores externos,,,,,,,,,,,,
2020-10-11 21:04:28,-4.027611,-79.196174,Calle Ramon Borrero,CON_LESIONADOS,Choque Vehicular,Mal estado de la via,57,LESIONADO,NO_REGISTRA,VEH_LIVIANO,,,,,,,,
2020-07-10 21:53:41,-4.001556,-79.190953,Calle Miguel Riofrio,SOLO_DANOS,Incendio,Estado de embriaguez,,,,,,,,,,,,
2020-02-08 01:14:25,-4.020178,-79.179967,Av. Pio Jaramillo,SOLO_DANOS,Accidente Laboral,Inobservancia de senales,,,,,,,,,,,,
2020-08-26 18:44:24,-4.005529,-79.218467,Av. Manuel Agustin Aguirre,CON_LESIONADOS,Atropellamiento,Equipo de seguridad deficiente,54,LESIONADO,NO_REGISTRA,PEATON,12,LESIONADO,HOMBRE,MOTOCICLETA,,,,
2020-05-30 19:07:44,-4.034756,-79.186973,Av. Orillas del Zamora,CON_LESIONADOS,Choque Vehicular,Exceso de velocidad,27,LESIONADO,NO_REGISTRA,SCOOTER,,,,,,,,
2020-03-11 08:09:39,-3.991748,-79.182215,Calle Rocafuerte,CON_FALLECIDOS,Incendio,Inobservancia de senales,20,FALLECIDO,HOMBRE,MOTOCICLETA,73,FALLECIDO,MUJER,OTRO,35,LESIONADO,NO_REGISTRA,VEH_LIVIANO
2020-04-13 01:55:33,-4.022879,-79.172872,Av. Orillas del Zamora,SOLO_DANOS,Volcamiento,Visibilidad reducida,,,,,,,,,,,,
2020-05-02 04:53:54,-3.992519,-79.205288,Av. Rosa Hermosa,CON_FALLECIDOS,Choque Vehicular,Falla mecanica,29,FALLECIDO,HOMBRE,OTRO,43,FALLECIDO,NO_REGISTRA,CICLISTA,33,LESIONADO,NO_REGISTRA,MOTOCICLETA
